Filename	Token	Locuteur	Consonne	Voyelle	presence_middleV	part
F1_ikipi.wav	ikipi	F1	k	i	T	1
F1_ekpe.wav	ekpe	F1	k	e	F	1
F1_axapa.wav	axapa	F1	x	a	T	1
F1_uxupu.wav	uxupu	F1	x	u	T	1
F1_okopo.wav	okopo	F1	k	o	T	1
F1_ukupu.wav	ukupu	F1	k	u	T	1
F1_oxpo.wav	oxpo	F1	x	o	F	1
F1_akpa.wav	akpa	F1	k	a	F	1
F1_ikpi.wav	ikpi	F1	k	i	F	1
F1_ixpi.wav	ixpi	F1	x	i	F	1
F1_exepe.wav	exepe	F1	x	e	T	1
F1_ekepe.wav	ekepe	F1	k	e	T	1
F1_oxopo.wav	oxopo	F1	x	o	T	1
F1_axpa.wav	axpa	F1	x	a	F	1
F1_ukpu.wav	ukpu	F1	k	u	F	1
F1_okpo.wav	okpo	F1	k	o	F	1
F1_uxpu.wav	uxpu	F1	x	u	F	1
F1_akapa.wav	akapa	F1	k	a	T	1
F1_expe.wav	expe	F1	x	e	F	1
F1_ixipi.wav	ixipi	F1	x	i	T	1
F1_ukupu.wav	ukupu	F1	k	u	T	1
F1_oxopo.wav	oxopo	F1	x	o	T	1
F1_akapa.wav	akapa	F1	k	a	T	1
F1_ekpe.wav	ekpe	F1	k	e	F	1
F1_axpa.wav	axpa	F1	x	a	F	1
F1_ixpi.wav	ixpi	F1	x	i	F	1
F1_ikpi.wav	ikpi	F1	k	i	F	1
F1_axapa.wav	axapa	F1	x	a	T	1
F1_oxpo.wav	oxpo	F1	x	o	F	1
F1_ukpu.wav	ukpu	F1	k	u	F	1
F1_ixipi.wav	ixipi	F1	x	i	T	1
F1_expe.wav	expe	F1	x	e	F	1
F1_okopo.wav	okopo	F1	k	o	T	1
F1_ikipi.wav	ikipi	F1	k	i	T	1
F1_exepe.wav	exepe	F1	x	e	T	1
F1_akpa.wav	akpa	F1	k	a	F	1
F1_okpo.wav	okpo	F1	k	o	F	1
F1_uxupu.wav	uxupu	F1	x	u	T	1
F1_ekepe.wav	ekepe	F1	k	e	T	1
F1_uxpu.wav	uxpu	F1	x	u	F	1
F1_expe.wav	expe	F1	x	e	F	1
F1_ekepe.wav	ekepe	F1	k	e	T	1
F1_ixipi.wav	ixipi	F1	x	i	T	1
F1_uxpu.wav	uxpu	F1	x	u	F	1
F1_ekpe.wav	ekpe	F1	k	e	F	1
F1_ixpi.wav	ixpi	F1	x	i	F	1
F1_okopo.wav	okopo	F1	k	o	T	1
F1_ukpu.wav	ukpu	F1	k	u	F	1
F1_axpa.wav	axpa	F1	x	a	F	1
F1_oxopo.wav	oxopo	F1	x	o	T	1
F1_ikipi.wav	ikipi	F1	k	i	T	1
